Age,SibSp,Parch,Fare,Sex,Embarked,Pclass
22.0,1,0,7.25,male,S,3
38.0,1,0,71.2833,female,C,1
26.0,0,0,7.925,female,S,3
35.0,1,0,53.1,female,S,1
35.0,0,0,8.05,male,S,3
54.0,0,0,51.8625,male,S,1
2.0,3,1,21.075,male,S,3
27.0,0,2,11.1333,female,S,3
14.0,1,0,30.0708,female,C,2
4.0,1,1,16.7,female,S,3
58.0,0,0,26.55,female,S,1
20.0,0,0,8.05,male,S,3
39.0,1,5,31.275,male,S,3
14.0,0,0,7.8542,female,S,3
55.0,0,0,16.0,female,S,2
2.0,4,1,29.125,male,Q,3
31.0,1,0,18.0,female,S,3
35.0,0,0,26.0,male,S,2
34.0,0,0,13.0,male,S,2
15.0,0,0,8.0292,female,Q,3
28.0,0,0,35.5,male,S,1
8.0,3,1,21.075,female,S,3
38.0,1,5,31.3875,female,S,3
19.0,3,2,263.0,male,S,1
40.0,0,0,27.7208,male,C,1
66.0,0,0,10.5,male,S,2
28.0,1,0,82.1708,male,C,1
42.0,1,0,52.0,male,S,1
21.0,0,0,8.05,male,S,3
18.0,2,0,18.0,female,S,3
14.0,1,0,11.2417,female,C,3
40.0,1,0,9.475,female,S,3
27.0,1,0,21.0,female,S,2
3.0,1,2,41.5792,female,C,2
19.0,0,0,7.8792,female,Q,3
18.0,1,0,17.8,female,S,3
7.0,4,1,39.6875,male,S,3
21.0,0,0,7.8,male,S,3
49.0,1,0,76.7292,female,C,1
29.0,1,0,26.0,female,S,2
65.0,0,1,61.9792,male,C,1
21.0,0,0,10.5,female,S,2
28.5,0,0,7.2292,male,C,3
5.0,1,2,27.75,female,S,2
11.0,5,2,46.9,male,S,3
22.0,0,0,7.2292,male,C,3
45.0,1,0,83.475,male,S,1
4.0,3,2,27.9,male,S,3
29.0,0,0,10.5,female,S,2
19.0,0,0,8.1583,male,S,3
17.0,4,2,7.925,female,S,3
26.0,2,0,8.6625,male,S,3
32.0,0,0,10.5,male,S,2
16.0,5,2,46.9,female,S,3
21.0,0,0,73.5,male,S,2
26.0,1,0,14.4542,male,C,3
32.0,0,0,56.4958,male,S,3
25.0,0,0,7.65,male,S,3
0.83,0,2,29.0,male,S,2
30.0,0,0,12.475,female,S,3
22.0,0,0,9.0,male,S,3
29.0,0,0,9.5,male,S,3
28.0,0,0,47.1,male,S,1
17.0,0,0,10.5,female,S,2
33.0,3,0,15.85,female,S,3
16.0,1,3,34.375,male,S,3
23.0,3,2,263.0,female,S,1
24.0,0,0,8.05,male,S,3
29.0,0,0,8.05,male,S,3
20.0,0,0,7.8542,male,S,3
46.0,1,0,61.175,male,S,1
26.0,1,2,20.575,male,S,3
59.0,0,0,7.25,male,S,3
71.0,0,0,34.6542,male,C,1
23.0,0,1,63.3583,male,C,1
34.0,0,1,23.0,female,S,2
34.0,1,0,26.0,male,S,2
28.0,0,0,7.8958,female,S,3
21.0,0,1,77.2875,male,S,1
